작품명,등급,좋아요,평점,장르,댓글수 평균,1화 댓글수,긍정,성공
오!주예수여,1,99999,9.98,판타지,10649.7,12240,65.76,1
공복의 저녁식사,1,99999,9.75,일상,8457.2,9453,52.76,1
슈퍼 시크릿,1,99999,9.98,판타지,4431.4,9458,68.68,1
내 ID는 강남미인!,1,99999,9.83,순정,12087.4,10067,49.82,1
대학일기,1,99999,9.97,개그,16742.2,30152,60.28,1
놓지마 정신줄,1,99999,9.92,개그,13946.8,26891,71.44,1
달수이야기,1,99999,9.98,개그,5362.3,10867,58.94,1
철벽! 연애 시뮬레이션,1,99999,9.96,판타지,4512,5820,49.64,1
썸남,1,99999,9.97,개그,4452,6589,52.12,1
데드데이즈,1,99999,9.97,스릴러,10924.2,23342,58.79,1
오늘도 형제는 평화롭다,1,99999,9.97,개그,4121.8,8155,68.13,1
폭풍의 전학생,1,14574,9.55,액션,8448.4,14477,54.93,1
모태솔로수용소,1,99999,9.92,개그,19535.6,23863,43.41,1
날로 먹는 연애,1,84178,9.45,일상,3198.2,4188,46.4,1
체크포인트,1,99999,9.96,판타지,4444.4,4404,43.03,1
싸우자귀신아,1,24737,9.9,판타지,10764,18966,77.25,1
이런 영웅은 싫어,1,99999,9.97,판타지,10608.6,24090,85.82,1
낮에 뜨는 달,1,99999,9.92,판타지,7196.2,12630,55.43,1
투명한 동거,1,99999,9.91,순정,4152.4,6777,60.69,1
윈터우즈,1,99999,9.98,판타지,4896.2,9612,66.81,1
핑크레이디,1,19464,9.93,순정,5562,9950,79.07,1
마스크걸,1,99999,9.96,스릴러,1541,2478,47.5,1
아메리카노엑소더스,1,99999,9.4,판타지,11457,20600,55.1,1
낢이사는이야기,1,99999,9.95,일상,6045,17144,75.47,1
연의 편지,1,99999,9.98,순정,3686,4473,75.22,1
쎈놈,1,7796,9.45,액션,1954.6,3513,55.02,1
귀각시,1,99999,9.97,스릴러,6139,10502,58.03,1
10월 28일,1,99999,9.57,스릴러,2404.6,3660,48.94,1
천년구미호,1,99999,9.96,판타지,7219.8,15195,70.91,1
오빠왔다,1,99999,9.7,개그,41099,61334,60.05,1
역전! 야매요리,1,99999,9.83,개그,19328.2,16904,77.59,1
아기낳는만화,1,99999,9.82,일상,11206,14207,36.95,1
마녀사냥,1,99999,9.95,판타지,11764.6,7168,50.76,1
지금우리학교는,1,22800,9.5,스릴러,6842.2,16671,41.59,1
선천적 얼간이들,1,99999,9.98,개그,2390,3394,59.71,1
파도의 주인,1,94916,9.98,판타지,2278,4415,43.13,1
감염자,1,99999,9.95,스릴러,3961,4482,47.35,1
35cm,1,99999,9.5,순정,3716.2,5677,40.23,1
일진에게 회초리,1,99999,9.95,판타지,3130,4588,56.17,1
두근거려요,1,89551,9.96,순정,3693.8,5494,60.07,1
골방환상곡,1,4378,9.92,일상,3911.4,10821,70.15,1
트럼프,1,99999,9.97,판타지,17633.4,37848,69.4,1
우리들은 푸르다,1,99999,9.31,개그,5527.4,6912,71.78,1
여탕보고서,1,99999,9.95,개그,9554,10255,63.72,1
오민혁 단편선,2,57848,9.97,순정,3873.6,5386,61.73,1
뱀이 앉은 자리,2,99999,9.97,스릴러,3157.8,5019,50.19,1
펫다이어리,2,10417,9.95,일상,2283.2,4807,71.46,1
고교생을 환불해주세요,2,99999,9.98,판타지,2439.6,4703,46.47,1
늘 푸른 찻집,2,99999,9.96,순정,7134.6,15522,60.52,1
프린스의 왕자,2,99999,9.98,순정,6065.8,8766,59.52,1
마술사,2,99999,9.93,판타지,3443.6,9861,62.04,1
2호선 세입자,2,64366,9.9,일상,4882,9442,39.63,1
군인rpg,2,67976,9.76,개그,2985.2,6810,61.61,1
고민툰,2,34166,3.98,일상,13721.2,20214,38.24,1
탈(TAL),2,99999,9.94,판타지,7657,14941,66.71,1
서북의 저승사자,2,99999,9.98,판타지,3772.2,5737,58.07,1
이별만화 완성도,2,78845,9.85,일상,2769.4,5954,57.85,1
질풍기획 시즌1,2,12069,9.96,개그,5125.8,7611,83.52,1
그들에게 사면초가,2,99999,9.94,순정,3947.6,10614,53.99,1
격투기특성화사립고교 극지고,2,75430,9.78,액션,4741,9669,74.76,1
신령,2,99999,9.97,판타지,6672.4,12024,76.53,1
안 돼요 마왕님!,2,76385,9.96,순정,6469.2,10125,56.81,1
마이너스의 손,2,99999,9.96,액션,7825.4,8096,55.07,1
심심한 마왕,2,99999,9.86,개그,9681.8,13106,80.07,1
차원이 다른 만화,2,99999,9.95,개그,6334.8,10175,61.71,1
조선좀비실록,2,99999,9.85,스릴러,10643.2,17300,54.19,1
헬퍼,2,99999,9.95,액션,5877.4,12757,63.72,1
체스아일,2,154,9.86,판타지,2602.2,4203,61.24,1
혈액형에 관한 간단한 고찰,2,67348,9.89,일상,10390,13922,68.38,1
갸오오와 사랑꾼들,2,99999,9.94,개그,2389.6,3958,66.39,1
크리퍼스큘,2,99999,9.94,판타지,12361.2,21676,63.19,1
부부생활,2,99999,9.94,일상,3423,6550,55.05,1
레사(lessa),2,24254,9.95,액션,7621.4,15174,61.96,1
와탕카,2,288,9.62,개그,2634.8,6121,73.26,1
원 뿔러스 원,2,99999,9.97,판타지,7639.4,10847,45.64,1
뱀피르,2,37577,9.9,액션,2878.4,5173,41.73,1
시타를 위하여,2,66713,9.97,판타지,4522.8,6045,63.71,1
바로잡는 순애보,2,86978,9.94,판타지,5263,5284,54.38,1
소년들은 무엇을 하고 있을까,2,99999,9.41,개그,26296.4,41568,52.25,1
실질객관동화,2,12998,9.9,개그,4968.2,8527,80.84,1
플라스틱 걸,2,1213,9.9,일상,1988.4,1945,61.85,1
어서오세요. 305호에,2,24710,9.96,순정,3017.8,7269,61.02,1
아테나 콤플렉스,2,99999,9.87,판타지,4224,8891,52.77,1
불량 뱀파이어,2,234,9.16,판타지,1818.8,2088,49.06,1
새끼손가락,2,7173,9.93,일상,1504,2401,52.95,1
AA,2,104,9.68,순정,820.4,1399,45.76,1
대작,2,62763,9.93,스릴러,1849.2,3909,48.44,1
나는 귀머거리다,2,99999,9.98,일상,5094.6,7942,78.39,1
독신으로 살겠다,2,95225,9.67,일상,10448.6,9619,49.09,1
에피소드메이비,2,268,9.86,순정,764,1495,71.04,1
방백남녀,2,99924,9.92,일상,2196.4,4552,33.96,1
"OH, MY GOD",2,9910,9.94,액션,9841,18575,57.69,1
언더프린,2,75192,9.95,판타지,8478.4,18741,62.41,1
샌프란시스코 화랑관,2,79248,9.98,순정,2672.2,5111,58.65,1
향수,2,2794,9.93,스릴러,1446.8,2365,51.51,1
나의 짝사랑 고백법,2,86963,9.82,순정,1855.2,3907,53.82,1
연애학,2,92444,9.76,순정,3126,6730,35.03,1
기로,2,48275,9.87,판타지,1553.8,3347,45.21,1
나는 남 너는 녀,2,79696,9.68,판타지,5202.4,5780,34.23,1
스펙트럼 분석기,2,12628,9.8,개그,11030.6,16497,59.69,1
알게뭐야,2,99999,9.96,개그,5075.2,8154,75.23,1
파우스트 인 러브,2,75598,9.86,판타지,2441.6,3769,42.35,1
스쿨홀릭,2,9407,9.89,일상,3224.8,6456,72.77,1
드래곤레시피,3,42178,9.33,판타지,11535.6,14068,48.11,0
ㄹㅇ관종,3,43520,9.55,개그,4706,15187,52.5,0
아이들의 권선생님,3,24864,9.95,일상,6443.2,10748,73.5,0
오늘도 핸드메이드,3,99999,9.97,일상,6886.6,9571,56.8,0
우리집에 곰이 이사왔다,3,99999,9.97,개그,3526.8,6778,64.11,0
악연,3,4024,9.9,스릴러,3731,3192,55.85,0
프로젝트X,3,2981,9.89,스릴러,2664.8,5571,45.42,0
암흑도시,3,58093,9.93,개그,2584.3,3997,54.84,0
미호이야기,3,9320,9.96,판타지,3790.2,3968,47.42,0
우바우,3,91504,9.97,일상,2599.6,5402,58.55,0
방울토마토,3,18500,9.96,순정,6301.2,8972,68.22,0
일상날개짓,3,14473,9.94,일상,6095.6,9634,68.18,0
완벽하지 않은 키스,3,78623,9.94,판타지,2111.2,3517,40.93,0
위아더 능력자!,3,7712,9.93,개그,7322.4,9418,75.53,0
아는사람 이야기,3,25009,9.94,순정,4662.4,8667,73.65,0
아빠를 찾습니다,3,11822,9.86,순정,7132.6,12568,45.33,0
홍차리브레,3,82614,9.98,일상,3544,6030,46.51,0
플로우,3,99999,9.96,액션,12516.8,16149,56.8,0
엔드리스,3,56453,9.96,판타지,1398.6,3643,41.34,0
아스란영웅전,3,11832,9.94,판타지,2028.8,3698,40.94,0
황금의 핸드메이커,3,45866,9.93,액션,2440.3,3509,41.4,0
구름의 노래,3,4737,9.88,순정,3083.2,4513,65.98,0
팀 피닉스,3,79754,9.95,액션,2073.2,3679,40.29,0
펀브로커,3,42023,9.92,판타지,1272.4,2409,44.17,0
제로,3,53,9.77,판타지,394.4,565,68.49,0
바람이 머무는 난,3,59930,9.95,판타지,6135.6,11295,63.89,0
와장창창!자취맨,3,53949,9.95,개그,1022.2,1492,41.25,0
투명살인,3,152,9.9,스릴러,1213,2295,62.9,0
헬로 미스터 테디,3,33486,9.94,개그,5076.2,7751,53.03,0
꼬리,3,59085,9.97,스릴러,669.2,1266,47.96,0
1인용 기분,3,99999,9.97,순정,3386.6,5198,56.45,0
개판,3,7711,9.88,액션,2294.8,2920,53.98,0
동네변호사 조들호 시즌1,3,64082,9.94,순정,4673.8,6976,62.69,0
러브슬립,3,604,9.79,개그,5683.6,8779,48.49,0
섀도우,3,30371,9.96,판타지,3328.6,6956,41.8,0
간질간질,3,61080,9.22,일상,4038.6,6416,35.99,0
