작품명,등급,좋아요,평점,장르,댓글수 평균,1화 댓글수,긍정,성공
신의 탑,1,99999,9.94,판타지,25421.4,50763,76.39,1
뷰티풀 군바리,1,99999,9.82,일상,20613.8,26127,71.57,1
악취,1,53015,9.94,스릴러,1377.4,2596,68.16,1
귀전구담,1,99999,9.98,스릴러,13853,7030.8,61.11,1
교환일기,2,51513,9.89,스릴러,1088.6,2027,43.93,1
마왕이 되는 중2야,2,99999,9.96,개그,5247.2,8120,69.22,1
이것도 친구라고,2,99999,9.95,개그,3685.8,5443,51.49,1
유일무이 로맨스,2,99999,9.99,일상,1616,2228,44.73,1
첫사랑입니다만,2,71357,9.91,순정,603.6,1294,48.33,1
히어로메이커,3,71922,9.96,판타지,1894,4707,60.14,0
일진이 사나워,3,99999,9.67,일상,5395.8,11703,41.46,0
요리GO,3,99999,9.9,일상,2769,5582,49.7,0
삶이 우리를 속일지라도,4,70048,9.93,순정,1545.6,2937,51.96,0
피플,4,60077,9.91,스릴러,2283.8,3088,48.16,0
하늘쌤은 피곤해,4,32731,9.81,개그,1312.6,2326,49.07,0
뱀파이어의 꽃,4,30834,9.81,순정,569.6,1110,49.37,0
플랫다이어리,4,45406,9.97,일상,917.2,1548,45.14,0
조선팔도 최강아이돌,4,41755,9.93,개그,1262.8,1983,55.84,0
여신강림,1,99999,9.89,순정,7366.2,12657,49.62,1
랜덤채팅의 그녀!,1,99999,9.72,일상,3331.2,4850,48.79,1
원주민 공포만화,1,99999,9.93,스릴러,5642.8,5094,64.24,1
바른연애 길잡이,1,99999,9.97,개그,2211.4,4570,62.91,1
신의 언어,1,99999,9.84,판타지,8890.2,13019,50.52,1
자판귀,2,99999,9.96,스릴러,2848.8,4632,60.61,1
에이머,2,93861,9.77,판타지,2173.8,4219,70.63,1
제로게임,2,99999,9.97,액션,10477.6,21935,55.68,1
열정호구,4,99999,9.92,일상,2920.4,3650,50.09,0
창궐,3,46141,9.68,액션,965,2058,31.1,0
정년이,4,45236,9.97,순정,1512.6,2159,62.82,0
헬58,4,43170,9.94,스릴러,1802.4,1934,53.51,0
악마와 계약연애,4,99999,9.99,판타지,1939,4065,55.13,0
꿀벌과 아카시아,4,44926,9.95,순정,914.6,2084,46.58,0
연놈,1,99999,9.92,일상,11623.4,20178,67.86,1
세상은 돈과 권력,1,99999,9.86,스릴러,10281.6,23292,35.51,1
신석기녀,2,99999,9.97,액션,4232.8,3538,50.46,1
격기3반,2,95361,9.41,액션,1418.6,2458,46.45,1
치즈인더트랩,2,99999,9.99,스릴러,1603.8,5353,61.18,1
언덕 위의 제임스,2,99999,9.91,개그,4437,6958,56.46,1
그래서 나는 안티팬과 결혼했다,3,99999,9.93,순정,817.4,2010,46.56,0
모죠의 일지,3,62454,9.96,개그,4681.4,6456,54.31,0
그 판타지 세계에서 사는 법,3,74651,9.97,판타지,1981.4,4141,71.03,0
203호 저승사자,3,93456,9.91,개그,5336.4,8404,58.33,0
미시령,3,99999,9.93,스릴러,4421,7616,42.25,0
칼부림,4,44839,9.9,판타지,2710.4,6099,57.18,0
"안녕, 대학생",4,85873,8.01,순정,2416.4,3669,45.34,0
푸른사막 아아루,4,80045,9.97,순정,1719.8,4239,54.96,0
로베스의 완전감각,4,38648,9.97,판타지,1192.4,2404,50.22,0
연애혁명,1,99999,9.87,개그,22222.8,46830,65.7,1
간 떨어지는 동거,1,99999,9.98,일상,3251,4498,55.93,1
쿠베라,1,99999,9.96,판타지,11756.6,24145,56.71,1
겟백,2,99999,9.97,스릴러,1583.2,2995,52.46,1
좋아하는 부분,2,99999,9.94,순정,8094.6,10243,37.44,1
병의 기록,2,20775,9.8,일상,2162.4,4123,35.24,1
이계 무슨 황비,2,44853,9.95,판타지,916.2,2051,61.2,1
가타부타타,3,70706,9.95,순정,1082,786,62.61,0
Doll 체인지,4,99999,9.97,판타지,4577.6,9401,52.67,0
오일머니,3,24701,9.95,액션,654,1279,55.25,0
특수 영능력 수사반,4,77964,9.55,판타지,8099.8,10427,57.28,0
루시퍼의 경호원,4,17125,9.04,판타지,692.8,1757,34.88,0
돼지만화,4,24723,5.64,일상,3573.2,4083,38.75,0
날 가져요,4,60596,9.91,순정,569.4,1463,49.5,0
방 안의 코끼리,4,26892,9.96,순정,523,937,60.04,0
외모지상주의,1,99999,9.5,판타지,22510,37251,59.87,1
이제 곧 죽습니다,1,99999,9.86,판타지,2447.8,4058,40.85,1
더 게이머,1,99999,8.6,액션,14668.2,32249,45.95,1
화장 지워주는 남자,2,99999,9.92,일상,3567.2,8819,37.6,1
걸어서 30분,2,99999,9.98,순정,8057.2,15875,61.75,1
금혼령-조선혼인금지령,2,36449,9.88,순정,706.4,1535,49.2,1
하르모니아,3,85183,9.96,스릴러,1881.2,2453,35.87,0
라스트 서브미션,3,44264,9.9,순정,1411.2,2140,41.22,0
자취로운 생활,4,72833,9.96,일상,1567.8,2589,51.03,0
소녀 연대기,4,66423,9.94,순정,2484,3207,30.54,0
꽃미남 저승사자,4,77557,9.84,순정,594.8,1363,32.63,0
대표님이 구독하셨습니다,4,37543,8.7,순정,1147.6,1861,45.96,0
식스틴,4,69374,9.95,일상,1252.8,2188,33.11,0
합법해적 파르페,4,19777,9.94,판타지,1503.8,4892,62.46,0
호랑이형님,1,99999,9.98,액션,8051,17606,59.68,1
프리드로우,1,99999,9.9,액션,25770.6,34675,58.41,1
취사병 전설이 되다,1,66041,9.93,판타지,2151,5982,42.62,1
나이트런,2,99999,9.94,판타지,8059,17094,59.97,1
어글리후드,2,99999,9.98,액션,3128.6,5218,51.93,1
우리 오빠는 아이돌,2,99999,9.91,개그,3810.6,9858,50.28,1
늑대와 빨간모자,3,99999,9.98,일상,1967.8,3651,48.68,0
열불 로맨스,3,64650,9.9,개그,1418.8,3043,36.73,0
머리카락을 뽑으면,4,47205,9.87,일상,1087,2890,45.95,0
동토의 여명,4,98778,9.94,액션,4102.2,9674,48.5,0
아홉수 우리들,4,44447,9.97,순정,934.2,2243,55.62,0
우주최강대스타,4,40106,8.01,순정,536.2,1218,41.85,0
열렙전사,1,99999,9.95,액션,4638.6,8566,36.94,1
연애의 정령,1,99999,9.95,개그,6122.6,9022,40.56,1
검은인간,1,99999,9.98,액션,3719.2,4448,52.54,1
둥굴레차!,2,99999,9.97,액션,3262.6,6307,52.11,1
