작품명,등급,좋아요,평점,장르,댓글수 평균,1화 댓글수,성공
신의 탑,1,99999,9.94,판타지,25421.4,50763,1
뷰티풀 군바리,1,99999,9.82,일상,20613.8,26127,1
악취,1,53015,9.94,스릴러,1377.4,2596,1
귀전구담,1,99999,9.98,스릴러,13853,7030.8,1
교환일기,2,51513,9.89,스릴러,1088.6,2027,1
마왕이 되는 중2야,2,99999,9.96,개그,5247.2,8120,1
이것도 친구라고,2,99999,9.95,개그,3685.8,5443,1
유일무이 로맨스,2,99999,9.99,일상,1616,2228,1
첫사랑입니다만,2,71357,9.91,순정,603.6,1294,1
히어로메이커,3,71922,9.96,판타지,1894,4707,0
일진이 사나워,3,99999,9.67,일상,5395.8,11703,0
요리GO,3,99999,9.9,일상,2769,5582,0
삶이 우리를 속일지라도,4,70048,9.93,순정,1545.6,2937,0
피플,4,60077,9.91,스릴러,2283.8,3088,0
하늘쌤은 피곤해,4,32731,9.81,개그,1312.6,2326,0
뱀파이어의 꽃,4,30834,9.81,순정,569.6,1110,0
플랫다이어리,4,45406,9.97,일상,917.2,1548,0
조선팔도 최강아이돌,4,41755,9.93,개그,1262.8,1983,0
여신강림,1,99999,9.89,순정,7366.2,12657,1
랜덤채팅의 그녀!,1,99999,9.72,일상,3331.2,4850,1
원주민 공포만화,1,99999,9.93,스릴러,5642.8,5094,1
바른연애 길잡이,1,99999,9.97,개그,2211.4,4570,1
신의 언어,1,99999,9.84,판타지,8890.2,13019,1
자판귀,2,99999,9.96,스릴러,2848.8,4632,1
에이머,2,93861,9.77,판타지,2173.8,4219,1
제로게임,2,99999,9.97,액션,10477.6,21935,1
열정호구,4,99999,9.92,일상,2920.4,3650,0
창궐,3,46141,9.68,액션,965,2058,0
정년이,4,45236,9.97,순정,1512.6,2159,0
헬58,4,43170,9.94,스릴러,1802.4,1934,0
악마와 계약연애,4,99999,9.99,판타지,1939,4065,0
꿀벌과 아카시아,4,44926,9.95,순정,914.6,2084,0
연놈,1,99999,9.92,일상,11623.4,20178,1
세상은 돈과 권력,1,99999,9.86,스릴러,10281.6,23292,1
